title,Score,Metascore,Year,Vote,Runtime,Revenue,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,FilmNoir,History,Horror,Music,Musical,Mystery,Romance,Sci.Fi,Sport,Thriller,War,Western
Disturbing Behavior,5.6,37.90605163574219,1998,19017,84,17.41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Stardust Memories,7.4,72.26647186279297,1980,19004,89,10.39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viridiana,8.2,84.083770751953125,1961,18996,90,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosencrantz & Guildenstern Are Dead,7.5,74.1252212524414,1990,18987,117,0.74,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleanskin,6.3,44.08909225463867,2012,18964,108,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Såsom i en spegel,8.1,87.38499450683594,1961,18946,89,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The House of the Spirits,6.9,64.27777099609375,1993,18942,140,6.27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Possession,7.4,72.476348876953125,1981,18925,124,1.11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tales from the Crypt: Demon Knight,6.7,50.175411224365234,1995,18874,92,21.09,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
A Moment to Remember,8.2,64.175933837890625,2004,18861,117,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lifeforce,6.1,44.095054626464844,1985,18856,116,11.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Namastey London,7.3,69.34561920166016,2007,18846,128,1.21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cemetery Junction,6.9,54.06267547607422,2010,18830,95,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khosla Ka Ghosla!,8.3,70.661468505859375,2006,18823,135,0.03,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La planète sauvage,7.8,81.93633270263672,1973,18813,72,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
My Darling Clementine,7.8,81.04701232910156,1946,18804,97,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jo Jeeta Wohi Sikandar,8.2,67.33343505859375,1992,18797,174,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Christiane F.,7.6,68.65472412109375,1981,18789,138,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hababam Sinifi Sinifta Kaldi,9,75.76314544677734,1976,18776,91,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Sassy Girl,6.3,45.06178665161133,2008,18742,92,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Problem Child 2,4.6,30.399028778076172,1991,18717,90,25.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamasha,7.2,70.7507553100586,2015,18691,139,1.98,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Manon des Sources,8,80.04710388183594,1986,18653,113,3.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapoor & Sons,7.8,76.938629150390625,2016,18617,132,2.37,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lesbian Vampire Killers,5.2,35.66884231567383,2009,18601,86,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
When a Man Loves a Woman,6.6,56.25508499145508,1994,18594,126,50.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Curly Sue,5.8,47.42372131347656,1991,18539,101,33.69,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock On!!,7.8,63.36353302001953,2008,18531,145,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fire in the Sky,6.5,54.7831916809082,1993,18517,109,20.1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Final Countdown,6.7,57.55125045776367,1980,18517,103,16.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Killing Zoe,6.5,51.78388214111328,1993,18509,96,0.42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Heisei tanuki gassen ponpoko,7.4,65.267822265625,1994,18484,119,NA,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rustom,7.1,68.85193634033203,2016,18475,148,1.09,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Killer's Kiss,6.7,73.52698516845703,1955,18443,67,NA,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Pagemaster,6,46.16654586791992,1994,18434,80,56.3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From Beyond,6.7,61.81129455566406,1986,18430,85,1.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Black Narcissus,8,86.51509857177734,1947,18414,101,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Excision,6.1,56.799198150634766,2012,18413,81,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Battle of Britain,7,72.33016204833984,1969,18412,132,NA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mutiny on the Bounty,7.8,87.17864990234375,1935,18410,132,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Men Don't Wear Plaid,6.8,59.305030822753906,1982,18401,88,18.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
How Green Was My Valley,7.8,83.46053314208984,1941,18389,118,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ox-Bow Incident,8.1,99.67469024658203,1943,18386,75,1.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rowdy Rathore,5.8,47.613040924072266,2012,18359,140,0.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klute,7.2,72.72210693359375,1971,18348,114,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Loft,7.3,61.50474548339844,2008,18324,118,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marty,7.7,76.8904800415039,1955,18324,90,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dil To Pagal Hai,7.1,59.88544845581055,1997,18321,179,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Krrish 3,5.3,44.472286224365234,2013,18282,152,2.19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Birdemic: Shock and Terror,1.8,23.636072158813477,2010,18271,105,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Tosun Pasa,9.1,76.24864959716797,1976,18258,90,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Borrowers,5.8,42.369346618652344,1997,18238,89,22.36,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fly,7.1,75.22785949707031,1958,18195,94,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Pather Panchali,8.5,90.8822250366211,1955,18175,125,0.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9th Company,7.1,56.79930114746094,2005,18159,139,NA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
City Hall,6.2,51.244659423828125,1996,18139,111,20.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taste of Cherry,7.7,74.586517333984375,1997,18138,95,0.31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koi... Mil Gaya,7.1,63.37654495239258,2003,18130,171,0.68,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
How to Marry a Millionaire,7,66.68367767333984,1953,18121,95,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Badlapur,7.5,70.68467712402344,2015,18107,134,0.37,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracula,7.4,83.93800354003906,1958,18068,82,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Local Hero,7.5,74.13581085205078,1983,18068,111,5.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maximum Risk,5.5,33.613216400146484,1996,18063,101,14.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dellamorte Dellamore,7.2,64.2634506225586,1994,18055,105,0.25,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Batoru rowaiaru II: Chinkonka,4.7,36.81415557861328,2003,18035,134,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eega,7.8,54.465362548828125,2012,18035,145,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Les aventures extraordinaires d'Adèle Blanc-Sec,6.3,50.57175827026367,2010,18029,107,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Zorbas,7.8,78.68468475341797,1964,18028,142,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In China They Eat Dogs,7.5,58.97999572753906,1999,18021,91,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Man Godfrey,8.1,84.8291244506836,1936,17967,94,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Capricorn One,6.8,60.63861846923828,1977,17965,123,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ying hung boon sik,7.6,66.33800506591797,1986,17946,95,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aynabaji,9.4,63.89971923828125,2016,17926,147,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Les rivières pourpres 2 - Les anges de l'apocalypse,5.9,40.44810485839844,2004,17902,97,NA,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Angels with Dirty Faces,8,89.89368438720703,1938,17899,97,NA,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Family Plot,6.8,59.6181640625,1976,17895,120,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Un monstre à Paris,6.7,53.453792572021484,2011,17828,90,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostalgia,8.1,71.903839111328125,1983,17818,125,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rise of the Footsoldier,6.9,49.993011474609375,2007,17753,119,NA,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europa,7.7,75.68160247802734,1991,17748,112,1.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ocean's Eleven,6.6,62.021728515625,1960,17647,127,12.32,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jolly LLB 2,7.3,76.71131896972656,2017,17644,137,1.63,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaybedenler Kulübü,7.7,56.173439025878906,2011,17626,105,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Only You,6.5,51.251285552978516,1994,17612,115,20.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nattvardsgästerna,8.1,89.40998077392578,1963,17603,81,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Tunnel,5.9,47.78805160522461,2011,17598,90,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Cargo,6.2,42.02432632446289,2009,17593,112,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Playing by Heart,7.1,65.87464141845703,1998,17589,121,3.96,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kopps,6.8,46.61738586425781,2003,17565,90,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drop Zone,5.6,37.425479888916016,1994,17540,101,28.72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tiger Zinda Hai,6.1,47.424198150634766,2017,17533,161,5.56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mr. Deeds Goes to Town,8,83.20100402832031,1936,17531,115,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ben X,7.4,62.59442138671875,2007,17529,93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rurouni Kenshin,7.6,59.52093505859375,2012,17507,134,NA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Crow: City of Angels,4.6,26.344755172729492,1996,17501,84,17.88,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Place in the Sun,7.8,76.63883209228516,1951,17499,122,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Empire State,5.2,36.80955123901367,2013,17477,94,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Night of the Creeps,6.8,62.66799545288086,1986,17461,88,0.59,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Meet Me in St. Louis,7.6,84.15087890625,1944,17458,113,7.57,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross of Honour,7.2,59.31456756591797,2012,17457,104,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Presidents,6.9,59.140892028808594,1995,17453,119,24.2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
...E tu vivrai nel terrore! L'aldilà,6.9,69.0339584350586,1981,17417,87,0.12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wishmaster,5.8,40.461368560791016,1997,17416,90,15.72,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Marked for Death,5.9,39.60451126098633,1990,17415,93,46.04,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhool Bhulaiyaa,7.3,64.62471771240234,2007,17411,159,1.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Sommersby,6.1,49.98472595214844,1993,17410,114,50.08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bad Ass,5.5,37.33772277832031,2012,17407,90,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam's Rib,7.6,73.54029846191406,1949,17407,101,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Them!,7.3,78.55021667480469,1954,17395,94,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Meet the Feebles,6.7,50.51765441894531,1989,17382,97,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
So Undercover,5,34.897743225097656,2012,17375,94,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99 francs,7.3,59.72572326660156,2007,17279,100,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quigley Down Under,6.9,59.576316833496094,1990,17277,119,21.41,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pumpkinhead,6.2,49.455322265625,1988,17260,86,4.39,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Dügün Dernek,7.3,57.06804275512695,2013,17260,106,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faces in the Crowd,5.8,41.159915924072266,2011,17246,103,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Butterfly Effect 3: Revelations,5.6,37.38534164428711,2009,17233,90,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Victor Victoria,7.6,70.660980224609375,1982,17232,134,21.93,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Havoc,5.5,40.41650390625,2005,17227,85,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funny Farm,6.1,50.973262786865234,1988,17220,101,25.54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Flight of the Phoenix,7.6,82.04888916015625,1965,17216,142,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvador,7.5,67.50923156738281,1986,17215,122,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Neerja,7.7,75.28050231933594,2016,17213,122,1.54,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ugetsu Monogatari,8.2,83.26471710205078,1953,17210,96,0.01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Knife in the Water,7.6,79.72550201416016,1962,17189,94,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La nuit américaine,8.1,81.66089630126953,1973,17183,115,0.02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fail-Safe,8,84.74016571044922,1964,17182,112,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Woman Under the Influence,8.2,76.73661041259766,1974,17181,155,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Last Year in Marienbad,7.9,90.28377532958984,1961,17174,94,0.14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
No Escape,6.1,49.514549255371094,1994,17165,118,15.34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scrooge,8.1,89.7000961303711,1951,17164,86,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gigi,6.8,60.511287689208984,1958,17160,115,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Tenebrae,7.2,70.45233917236328,1982,17154,101,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
The Glimmer Man,5.4,34.2523193359375,1996,17151,91,20.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dèmoni,6.7,60.893760681152344,1985,17138,88,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Freshman,6.5,51.251285552978516,1990,17131,102,21.46,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One, Two, Three",8,78.410980224609375,1961,17117,108,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cutting Edge,6.9,64.98844146728516,1992,17077,101,25.11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Supercop,6.9,56.273868560791016,1992,17066,95,16.27,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshya,7.9,75.69925689697266,2004,17053,186,0.75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
In Hell,6.3,45.093563079833984,2003,17031,98,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Duellists,7.5,69.93060302734375,1977,17022,100,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2 Days in the Valley,6.5,50.77377700805664,1996,17018,104,11.11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jackie Chan's First Strike,6.6,51.470489501953125,1996,17017,107,15.32,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lover,6.9,64.62662506103516,1992,17016,115,4.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Quarantine 2: Terminal,5.2,41.23102569580078,2011,16955,86,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Rampage,6.3,42.17307662963867,2009,16928,85,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Seul contre tous,7.5,70.90641784667969,1998,16916,93,0.05,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La habitación de Fermat,6.7,48.39784240722656,2007,16901,89,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Jisatsu sâkuru,6.6,59.2169075012207,2001,16901,99,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nightbreed,6.6,49.307533264160156,1990,16876,102,8.86,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Pyaar Ka Punchnama,7.7,56.173439025878906,2011,16842,149,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Lady Eve,7.9,80.00250244140625,1941,16828,94,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Delta Force,5.6,43.42306137084961,1986,16825,125,17.77,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masaan,8.1,69.0101547241211,2015,16815,109,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Young Sherlock Holmes,6.8,53.88008117675781,1985,16812,109,19.74,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Hidden,6.4,59.58998489379883,2015,16805,84,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bad Day at Black Rock,7.8,83.92506408691406,1955,16792,81,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carnival of Souls,7.2,83.15567779541016,1962,16783,78,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
The Starving Games,3.3,28.08104133605957,2013,16780,83,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Her Sey Çok Güzel Olacak,8.2,69.55744171142578,1998,16778,107,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,7.4,60.49950408935547,2015,16707,188,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"What's Up, Doc?",7.8,75.48619842529297,1972,16693,94,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Confess,7.3,77.6922607421875,1953,16691,95,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Los amantes del Círculo Polar,7.8,73.44451904296875,1998,16689,112,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Biohazard: Damnation,6.6,51.11327362060547,2012,16661,100,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
My Girl 2,5.2,39.22884750366211,1994,16622,99,17.36,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninotchka,8,89.75231170654297,1939,16600,110,1.19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kidulthood,6.8,51.32793426513672,2006,16572,89,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',7.4,69.2452621459961,2015,16557,93,8.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat People,7.4,80.884979248046875,1942,16525,73,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Harley Davidson and the Marlboro Man,6,44.8905029296875,1991,16521,98,7.43,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Life as a Dog,7.6,73.69591522216797,1985,16505,101,8.35,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
They Call Me Trinity,7.5,72.55011749267578,1970,16495,113,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Eagle Has Landed,6.9,69.726287841796875,1976,16473,135,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Omkara,8.1,76.63304901123047,2006,16455,155,0.79,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetsuo,7,69.89241027832031,1989,16421,67,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Recep Ivedik 2,4.3,26.676433563232422,2009,16417,107,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How the West Was Won,7.1,67.1031494140625,1962,16415,164,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blank Cheque,5.2,33.787322998046875,1994,16415,93,30.58,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Le procès,7.8,80.805572509765625,1962,16373,119,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Dag,8.1,76.31071472167969,2012,16373,90,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hard Way,6.3,47.112815856933594,1991,16358,111,25.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greystoke: The Legend of Tarzan, Lord of the Apes",6.4,54.160518646240234,1984,16320,135,45.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickpocket,7.8,85.9164047241211,1959,16319,76,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Killers,7.8,81.47669219970703,1946,16307,103,NA,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
